i,n,r,rnew,rto,censusregions,st,in,country,custreg
21,p8,nr13,nr1new,rto2,PA,CA,WSCC,USA,Pacific
22,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,Pacific
23,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,Pacific
24,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,Pacific
25,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,Pacific
26,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,Pacific
27,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,Pacific
28,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA,Pacific
29,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,Pacific
30,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA,Pacific
31,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA,Pacific
32,p11,nr13,nr5new,rto4,PA,CA,WSCC,USA,Pacific
33,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA,Pacific
34,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,Mountain
35,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,Mountain
36,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,Mountain
37,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,Mountain
38,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,Mountain
39,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,Mountain
40,p13,nr12,nr7new,rto3,MTN,NV,WSCC,USA,Mountain
41,p14,nr11,nr1new,rto1,MTN,ID,WSCC,USA,Mountain
42,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA,Mountain
43,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA,Mountain
44,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA,Mountain
45,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA,Mountain
46,p16,nr11,nr2new,rto1,MTN,ID,WSCC,USA,Mountain
47,p16,nr11,nr2new,rto1,MTN,ID,WSCC,USA,Mountain
48,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA,Mountain
49,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA,Mountain
50,p26,nr11,nr2new,rto2,MTN,UT,WSCC,USA,Mountain
51,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA,Mountain
52,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA,Mountain
53,p27,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,Mountain
54,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,Mountain
55,p29,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,Mountain
56,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,Mountain
57,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,Mountain
58,p30,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,Mountain
59,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,Mountain
60,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA,Mountain
61,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA,Mountain
62,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA,Mountain
63,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA,Mountain
64,p18,nr11,nr1new,rto2,MTN,MT,WSCC,USA,Mountain
65,p18,nr11,nr1new,rto2,MTN,MT,WSCC,USA,Mountain
66,p20,nr11,nr1new,rto2,MTN,MT,WSCC,USA,Mountain
67,p18,nr11,nr1new,rto2,MTN,MT,WSCC,USA,Mountain
68,p19,nr11,nr9new,rto2,MTN,MT,WSCC,USA,Mountain
69,p20,nr11,nr1new,rto2,MTN,MT,WSCC,USA,Mountain
70,p21,nr11,nr2new,rto2,MTN,WY,WSCC,USA,Mountain
71,p21,nr11,nr2new,rto2,MTN,WY,WSCC,USA,Mountain
72,p22,nr11,nr3new,rto2,MTN,WY,WSCC,USA,Mountain
73,p23,nr11,nr3new,rto5,MTN,WY,WSCC,USA,Mountain
74,p24,nr11,nr3new,rto5,MTN,WY,WSCC,USA,Mountain
75,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
76,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
77,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
78,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
79,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
80,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
81,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
82,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
83,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
84,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
85,p33,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
86,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
87,p34,nr12,nr3new,rto5,MTN,CO,WSCC,USA,Mountain
88,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,Mountain
89,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,Mountain
90,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,Mountain
91,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,Mountain
92,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,Mountain
93,p31,nr12,nr7new,rto3,MTN,NM,WSCC,USA,Mountain
94,p59,nr12,nr7new,rto3,MTN,TX,WSCC,USA,Mountain
95,p32,nr11,nr3new,rto5,MTN,SD,WSCC,USA,Mountain
96,p35,nr5,nr9new,rto11,WNC,MT,eastern,USA,West North Central
97,p36,nr5,nr9new,rto11,WNC,ND,eastern,USA,West North Central
98,p36,nr5,nr9new,rto11,WNC,ND,eastern,USA,West North Central
99,p37,nr5,nr9new,rto11,WNC,ND,eastern,USA,West North Central
100,p36,nr5,nr9new,rto11,WNC,ND,eastern,USA,West North Central
101,p36,nr5,nr9new,rto11,WNC,ND,eastern,USA,West North Central
102,p37,nr5,nr9new,rto11,WNC,ND,eastern,USA,West North Central
103,p37,nr5,nr9new,rto11,WNC,ND,eastern,USA,West North Central
104,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,West North Central
105,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,West North Central
106,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,West North Central
107,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,West North Central
108,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,West North Central
109,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,West North Central
110,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,West North Central
111,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,West North Central
112,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,West North Central
113,p38,nr5,nr9new,rto11,WNC,SD,eastern,USA,West North Central
114,p39,nr5,nr10new,rto8,WNC,NE,eastern,USA,West North Central
115,p39,nr5,nr10new,rto8,WNC,NE,eastern,USA,West North Central
116,p40,nr5,nr10new,rto8,WNC,NE,eastern,USA,West North Central
